Country,Age_group,Girl,Boy
Poland,11-year-olds,46,38
Belgium (French),11-year-olds,40,29
Estonia,11-year-olds,30,32
Germany,11-year-olds,35,27
Hungary,11-year-olds,37,25
Netherlands,11-year-olds,38,23
Denmark,11-year-olds,38,23
Latvia,11-year-olds,31,29
Luxembourg,11-year-olds,33,27
Portugal,11-year-olds,30,29
Austria,11-year-olds,31,26
Lithuania,11-year-olds,34,24
Switzerland,11-year-olds,33,22
Finland,11-year-olds,32,22
Greenland,11-year-olds,31,22
Wales,11-year-olds,31,23
Belgium (Flemish),11-year-olds,29,22
Bulgaria,11-year-olds,28,24
England,11-year-olds,27,24
Romania,11-year-olds,24,27
Czechia,11-year-olds,25,24
France,11-year-olds,30,21
Italy,11-year-olds,29,21
Canada,11-year-olds,27,22
North Macedonia,11-year-olds,22,26
Slovenia,11-year-olds,25,23
Spain,11-year-olds,24,24
Albania,11-year-olds,21,25
Malta,11-year-olds,27,19
Slovakia,11-year-olds,24,23
Croatia,11-year-olds,21,23
Ireland,11-year-olds,25,19
Republic of Moldova,11-year-olds,23,21
Sweden,11-year-olds,29,16
Greece,11-year-olds,23,19
Iceland,11-year-olds,24,18
Israel,11-year-olds,22,20
Cyprus,11-year-olds,20,20
Kazakhstan,11-year-olds,17,16
Serbia,11-year-olds,18,15
Armenia,11-year-olds,14,16
Tajikistan,11-year-olds,12,17
Kyrgyzstan,11-year-olds,10,11
Poland,13-year-olds,60,35
Austria,13-year-olds,43,40
Belgium (French),13-year-olds,50,29
Germany,13-year-olds,46,32
Hungary,13-year-olds,45,33
Greenland,13-year-olds,47,28
Latvia,13-year-olds,41,32
Denmark,13-year-olds,48,23
Netherlands,13-year-olds,44,28
Wales,13-year-olds,44,29
Estonia,13-year-olds,40,31
Lithuania,13-year-olds,42,27
Switzerland,13-year-olds,45,26
Finland,13-year-olds,39,27
Luxembourg,13-year-olds,40,27
Portugal,13-year-olds,40,27
Sweden,13-year-olds,42,24
Ireland,13-year-olds,39,26
Slovenia,13-year-olds,37,26
Belgium (Flemish),13-year-olds,41,22
Canada,13-year-olds,37,24
England,13-year-olds,40,22
Greece,13-year-olds,37,25
France,13-year-olds,37,23
North Macedonia,13-year-olds,31,28
Spain,13-year-olds,33,27
Italy,13-year-olds,37,21
Bulgaria,13-year-olds,31,25
Czechia,13-year-olds,30,26
Malta,13-year-olds,31,24
Romania,13-year-olds,30,27
Slovakia,13-year-olds,31,25
Iceland,13-year-olds,32,22
Israel,13-year-olds,27,27
Croatia,13-year-olds,30,23
Cyprus,13-year-olds,24,25
Republic of Moldova,13-year-olds,31,20
Albania,13-year-olds,17,24
Serbia,13-year-olds,23,17
Kazakhstan,13-year-olds,20,15
Armenia,13-year-olds,15,18
Kyrgyzstan,13-year-olds,15,10
Tajikistan,13-year-olds,14,13
Poland,15-year-olds,56,32
Belgium (French),15-year-olds,54,28
Wales,15-year-olds,50,30
Germany,15-year-olds,50,29
Ireland,15-year-olds,52,27
Austria,15-year-olds,44,30
Luxembourg,15-year-olds,47,27
Netherlands,15-year-olds,48,26
Denmark,15-year-olds,49,23
England,15-year-olds,43,29
Hungary,15-year-olds,46,27
Latvia,15-year-olds,44,27
Switzerland,15-year-olds,47,23
Estonia,15-year-olds,38,31
Belgium (Flemish),15-year-olds,46,21
Finland,15-year-olds,46,19
Lithuania,15-year-olds,42,24
Slovenia,15-year-olds,39,26
Sweden,15-year-olds,43,24
Canada,15-year-olds,38,26
Portugal,15-year-olds,39,24
France,15-year-olds,41,22
Greece,15-year-olds,39,24
Greenland,15-year-olds,38,24
Iceland,15-year-olds,39,23
Italy,15-year-olds,40,22
Malta,15-year-olds,40,23
Spain,15-year-olds,38,24
Croatia,15-year-olds,33,22
Israel,15-year-olds,31,24
Romania,15-year-olds,30,25
Slovakia,15-year-olds,33,21
North Macedonia,15-year-olds,30,22
Czechia,15-year-olds,28,22
Bulgaria,15-year-olds,25,22
Republic of Moldova,15-year-olds,32,15
Cyprus,15-year-olds,25,22
Albania,15-year-olds,18,17
Serbia,15-year-olds,20,13
Kazakhstan,15-year-olds,21,11
Armenia,15-year-olds,14,15
Kyrgyzstan,15-year-olds,20,6
Tajikistan,15-year-olds,14,11
